orgid,ein,charity_name,category,city,state,efficiency_rating_star,affiliate_payments,admin_expense,total_revenue,program_expense,other_revenue,capacity_rating,program_expense_percent,primary_revenue_growth,fund_efficiency,cause,tag_line,overall_rating,website,total_functional_expense,leader_comp,program_expense_growth,net_assets,efficiency_rating,leader_comp_percent,capacity_rating_star,budget_surplus,admin_expense_percent,fund_expense,primary_revenue,url,fund_expense_percent,email,working_capital_ratio,overall_rating_star
11310,95-1893417,Boys and Girls Clubs of Santa Ana,Human Services,Santa Ana,CA,4,0,"170,591","1,790,781","1,548,626","84,013",27.50,83.2,11.7,0.08,"Youth Development, Shelter, and Crisis Services",The positive place for kids,65.82,http://www.boysandgirlsclub.com,"1,859,790","
                  None reported",13.1,"1,703,696",38.32,--,4,"-69,009",9.1,"140,573","1,706,768",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11310,7.5,,0.91,4
7309,74-6026198,Boys and Girls Country,Human Services,Hockley,TX,4,0,"367,995","6,739,302","4,427,528","553,297",27.49,86.3,6.1,0.05,Children's and Family Services,A home for children,66.12,http://www.boysandgirlscountry.org/,"5,129,623","60,000",7.6,"22,827,222",38.63,1.16,4,"1,609,679",7.1,"334,100","6,186,005",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7309,6.5,mailto:info@boysandgirlscountry.org,3.70,4
10085,58-1387871,Boys and Girls Home of North Carolina,Human Services,Lake Waccamaw,NC,4,0,"747,138","6,530,124","4,807,833","488,238",22.82,81.7,8.9,0.05,Children's and Family Services,"Providing residential and foster care/adoption programs for neglected, abused, and hurting children",60.99,http://www.boysandgirlshomesofnc.com/,"5,884,260","100,000",2.8,"13,494,041",38.17,1.69,4,"645,864",12.6,"329,289","6,041,886",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10085,5.5,mailto:bgh-1@bghnc.org,2.29,4
8852,51-0175725,Boys Choir of Harlem,Education,New York,NY,0,0,"140,787","299,729","71,545",0,0.00,33.6,-48.2,0.00,Other Education Programs and Services,A performing arts and educational institution,20.24,http://www.boyschoirofharlem.org/home-nosound.html,"212,332","
                  None reported",-64.9,"-3,357,632",20.24,--,0,"87,397",66.3,0,"299,729",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8852,0.0,mailto:info@boyschoirofharlem.org,-1.91,0
5014,13-5596750,The Boys' Club of New York,Human Services,New York,NY,2,0,"1,585,869","511,481","11,215,424","-5,190,653",20.00,80.0,14.0,0.22,"Youth Development, Shelter, and Crisis Services",A better future starts at our door - Since 1876,50.75,http://www.bcny.org/,"14,014,518","164,942",-1.4,"79,454,960",30.75,1.17,3,"-13,503,037",11.3,"1,213,225","5,702,134",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5014,8.6,mailto:development@bcny.org,3.42,3
7043,43-1209928,"Boys Hope Girls Hope, Chapters",Human Services,Bridgeton,MO,3,0,"2,038,811","11,418,409","11,114,850","-588,098",20.22,75.0,-3.5,0.13,"Youth Development, Shelter, and Crisis Services",Inspire. Empower. Nurture. Succeed.,52.72,http://www.boyshopegirlshope.org/,"14,806,804","
                  None reported",11.5,"29,677,795",32.50,--,3,"-3,388,395",13.7,"1,653,143","12,006,507",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7043,11.1,mailto:jpalmer@bhgh.org,1.52,3
5351,51-0182614,"Boys Hope Girls Hope, National Office",Human Services,Bridgeton,MO,2,0,"636,363","-512,242","2,444,024","-2,135,928",15.00,76.8,1.2,0.06,"Youth Development, Shelter, and Crisis Services",Inspire. Empower. Nurture. Succeed.,42.82,http://www.boyshopegirlshope.org/,"3,181,516","88,323",-12.6,"13,872,835",27.82,2.77,2,"-3,693,758",20.0,"101,129","1,623,686",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5351,3.1,mailto:hope@bhgh.org,1.73,2
8607,47-0376606,Boys Town,Human Services,Boys Town,NE,3,0,"13,653,066","188,023,742","189,376,555","13,790,589",26.52,85.2,7.7,0.30,"Youth Development, Shelter, and Crisis Services",Changing the way America cares for children and families,60.05,http://www.boystown.org/,"222,125,325","52,543",6.5,"903,247,445",33.52,0.02,4,"-34,101,582",6.1,"19,095,704","174,233,153",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8607,8.5,mailto:helpkids@girlsandboystown.org,3.83,4
5986,11-5324002,Boys Town Jerusalem Foundation of America,International,New York,NY,2,0,"780,519","5,402,212","4,475,712","-131,893",18.94,71.2,0.7,0.18,Single Country Support Organizations,Turning young boys from limited backgrounds into young men with limitless futures,48.56,http://www.boystownjerusalem.org/,"6,284,227","289,500",4.4,"30,635,567",29.62,4.60,3,"-882,015",12.4,"1,027,996","5,534,105",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5986,16.3,mailto:btjnational@boystownjerusalem.org,4.72,2
5426,52-1285097,Brady Center To Prevent Gun Violence,Public Benefit,Washington,DC,3,0,"219,106","3,122,840","3,141,984","3,719",10.58,81.6,-1.2,0.15,Advocacy and Civil Rights,Leading the fight to prevent gun violence,43.74,http://www.bradycenter.org/,"3,850,108","243,888",5.5,"1,945,652",33.15,6.33,1,"-727,268",5.6,"489,018","3,119,121",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5426,12.7,mailto:info@bradycenter.org,0.19,2
3385,95-1641426,Braille Institute of America,Education,Los Angeles,CA,3,0,"2,730,596","29,299,583","21,496,393","6,053,555",22.65,79.7,11.3,0.11,Other Education Programs and Services,Empowering visually impaired people to live fulfilling lives,55.62,http://www.brailleinstitute.org,"26,960,827","267,144",2.6,"133,401,397",32.97,0.99,4,"2,338,756",10.1,"2,733,838","23,246,028",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3385,10.1,mailto:plannedgiving@brailleinstitute.org,4.49,3
3386,04-2103552,Brandeis University,Education,Waltham,MA,3,0,"28,247,185","289,873,136","299,470,498","-1,729,108",17.43,88.4,-2.0,0.27,"Universities, Graduate Schools, and Technological Institutes","Truth, even unto its innermost parts",51.27,,"338,603,908","523,546",5.7,"771,801,174",33.84,0.15,2,"-48,730,772",8.3,"10,886,225","291,602,244",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3386,3.2,,0.83,3
9682,74-2380446,Brazos Valley Food Bank,Human Services,Bryan,TX,4,0,"114,082","5,553,518","4,997,811","5,047",30.00,96.9,19.7,0.00,"Food Banks, Food Pantries, and Food Distribution",Serving the Brazos Valley,69.69,,"5,155,344","
                  None reported",18.2,"2,048,924",39.69,--,4,"398,174",2.2,"43,451","5,548,471",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9682,0.8,,0.37,4
8310,94-2260301,Bread & Roses,"Arts, Culture, Humanities",Corte Madera,CA,1,0,"88,836","946,637","665,633","253,449",23.45,71.8,-0.2,0.24,Performing Arts,Hope and healing through live music,50.64,http://breadandroses.org,"926,240","92,500",12.8,"1,440,738",27.18,9.98,4,"20,397",9.5,"171,771","693,188",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8310,18.5,mailto:info@breadandroses.org,1.48,3
8172,52-1138207,Bread for the City,Human Services,Washington,DC,3,0,"285,879","6,545,548","5,337,114","95,352",27.50,84.3,19.3,0.10,Social Services,"Providing vulnerable residents of Washington, DC with comprehensive services",60.93,,"6,325,130","123,101",25.8,"5,578,653",33.43,1.94,4,"220,418",4.5,"702,137","6,450,196",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8172,11.1,,0.87,4
5376,51-0175510,Bread for the World Institute,International,Washington,DC,4,0,"54,279","6,758,440","4,865,093","84,914",25.20,91.5,2.2,0.05,"International Peace, Security, and Affairs",Have faith. End hunger.,64.36,http://www.bread.org/BFW-Institute/,"5,311,463","122,176",9.2,"6,989,419",39.15,2.30,4,"1,446,977",1.0,"392,091","6,673,526",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5376,7.3,mailto:institute@bread.org,1.31,4
6149,36-3810926,Breakthrough Urban Ministries,Human Services,Chicago,IL,2,0,"298,232","4,375,640","2,601,308","4,803",30.00,71.8,12.0,0.16,Homeless Services,Transforming people and communities from the inside out,59.68,,"3,619,766","
                  None reported",13.3,"6,251,546",29.68,--,4,"755,874",8.2,"720,226","4,370,837",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6149,19.8,,1.72,3
4935,13-1623915,Brearley School,Education,New York,NY,3,0,"6,153,549","31,642,959","24,191,198","-2,740,695",26.64,76.2,2.9,0.12,Private Elementary and Secondary Schools,By truth and toil,59.27,http://www.brearley.org,"31,706,973","423,255",9.9,"143,393,132",32.62,1.33,4,"-64,014",19.4,"1,362,226","34,383,654",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4935,4.2,mailto:development@brearley.org,3.17,3
8161,77-0417605,Breast Cancer Connections,Health,Palo Alto,CA,4,0,"124,029","1,304,400","1,070,755","-3,714",26.33,81.7,2.6,0.08,"Diseases, Disorders, and Disciplines",Your community resource for information & support,64.50,http://www.bcconnections.org,"1,309,549","79,252",12.2,"1,888,181",38.17,6.05,4,"-5,149",9.4,"114,765","1,308,114",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8161,8.7,mailto:info@bcconnections.org,1.44,4
7453,94-3155886,Breast Cancer Fund,Health,San Francisco,CA,3,0,"233,331","3,274,165","2,720,046","34,676",16.71,78.5,3.0,0.16,"Diseases, Disorders, and Disciplines",Prevention starts here,49.56,http://www.breastcancerfund.org/,"3,464,606","164,752",3.2,"1,428,517",32.85,4.75,2,"-190,441",6.7,"511,229","3,239,489",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7453,14.7,mailto:info@breastcancerfund.org,0.41,2
6952,36-3049954,Breast Cancer Network of Strength,Health,Chicago,IL,1,0,"569,323","10,923,903","11,799,524","-1,116,610",24.95,72.9,6.2,0.31,"Diseases, Disorders, and Disciplines",Feel the network of strength,49.69,http://www.networkofstrength.org/,"16,183,428","276,345",30.7,"5,869,619",24.73,1.70,4,"-5,259,525",3.5,"3,814,581","12,040,513",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6952,23.5,mailto:development@networkofstrength.org,0.33,2
5001,13-3727250,Breast Cancer Research Foundation,Health,New York,NY,4,0,"976,875","33,924,636","29,479,319","656,251",21.06,91.7,7.3,0.05,Medical Research,Working to achieve prevention and a cure for breast cancer,60.23,http://www.bcrfcure.org,"32,147,175","593,578",5.0,"9,373,565",39.17,1.84,3,"1,777,461",3.0,"1,690,981","33,268,385",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5001,5.2,mailto:bcrf@bcrfcure.org,0.28,4
9417,23-3082851,Breastcancer.org,Health,Ardmore,PA,2,0,"111,063","2,492,242","2,356,363","375,641",30.00,78.5,20.4,0.25,"Diseases, Disorders, and Disciplines","Providing the most reliable, complete, and up-to-date information about breast cancer",57.85,http://www.breastcancer.org/,"2,998,721","196,913",33.8,"3,229,768",27.85,6.56,4,"-506,479",3.7,"531,295","2,116,601",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9417,17.7,mailto:comments@breastcancer.org,1.07,3
7924,95-1641451,Breathe California of Los Angeles County,Health,Los Angeles,CA,0,0,"401,866","1,386,305","1,400,171","712,681",10.00,67.0,-28.9,0.42,"Diseases, Disorders, and Disciplines",Protecting the breath of life,32.29,http://www.breathela.org,"2,088,725","172,673",-4.5,"8,041,528",22.29,8.26,1,"-702,420",19.2,"286,688","673,624",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7924,13.7,mailto:info@breathela.org,3.84,1
8805,94-1156307,Breathe California of the Bay Area,Health,San Jose,CA,3,0,"12,036","1,070,300","1,385,166","91,970",21.91,92.6,0.8,0.10,"Diseases, Disorders, and Disciplines",Fighting lung disease in all its forms,58.68,http://www.lungsrus.org/,"1,494,432","95,647",9.8,"2,111,880",36.76,6.40,3,"-424,132",0.8,"97,230","978,330",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8805,6.5,mailto:info@lungsrus.org,0.91,3
11171,94-0836760,"Breathe California, Golden Gate Public Health Partnership",Health,Daly City,CA,4,0,"236,870","2,144,142","1,305,945","166,567",27.50,77.2,16.2,0.07,"Diseases, Disorders, and Disciplines","Fighting lung disease, advocating for clean air and advancing public health",65.22,http://www.ggbreathe.org,"1,691,157","127,836",10.3,"2,059,312",37.72,7.55,4,"452,985",14.0,"148,342","1,977,575",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11171,8.7,mailto:info@ggbreathe.org,0.79,4
5007,13-3839293,Brennan Center for Justice at NYU School of Law,Public Benefit,New York,NY,2,0,"847,989","6,537,300","5,496,337","72,449",16.95,77.9,5.7,0.10,Advocacy and Civil Rights,"Winning meaningful, measurable change in the public sector",49.11,http://www.brennancenter.org,"7,049,934","249,357",-0.2,"7,052,484",32.15,3.53,2,"-512,634",12.0,"705,608","6,464,851",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5007,10.0,mailto:brennancenter@nyu.edu,0.97,2
5663,74-1587672,The Briarwood School and The Brookwood Community,Education,Brookshire,TX,4,0,"1,673,162","18,454,545","14,290,406","-1,527,392",23.74,85.6,5.3,0.09,Other Education Programs and Services,Where the spirit soars,62.31,http://www.brookwoodcommunity.org/,"16,679,121","108,490",4.6,"67,849,790",38.56,0.65,4,"1,775,424",10.0,"715,553","19,981,937",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5663,4.2,mailto:heatherh@brookwoodcommunity.org,2.70,4
7421,93-1162941,Bridge Builders International,Religion,Philomath,OR,4,0,"75,058","639,155","477,754",344,5.00,80.5,-4.9,0.06,Religious Activities,We bring people together,43.05,,"593,197","73,438",-4.5,"107,546",38.05,12.38,1,"45,958",12.6,"40,385","638,811",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7421,6.8,,0.17,2
8832,36-3705951,Bridge Communities,Human Services,Glen Ellyn,IL,3,0,"178,265","2,463,680","1,832,418","33,111",18.79,83.2,5.0,0.12,Homeless Services,Connecting homeless families to a better future,54.62,http://www.bridgecommunities.org,"2,200,420","70,285",-2.2,"5,242,403",35.82,3.19,3,"263,260",8.1,"189,737","2,430,569",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8832,8.6,mailto:amy.vanpolen@bridgecommunities.org,2.38,3
9826,06-1362705,Bridgeport Rescue Mission,Human Services,Bridgeport,CT,1,0,"259,651","2,330,264","1,531,279","-6,410",27.50,65.5,18.1,0.23,Homeless Services,Fighting poverty from the inside out,51.55,http://www.bridgeportrescuemission.org/,"2,334,691","61,260",15.8,"1,943,551",24.05,2.62,4,"-4,427",11.1,"543,761","2,336,674",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9826,23.2,mailto:info@BridgeportRescueMission.org,0.76,3
8534,41-1334042,Bridges For Peace,Religion,Cocoa,FL,4,0,"337,215","4,814,098","4,153,070","-18,267",22.88,83.9,3.8,0.09,Religious Activities,Your Israel connection,61.27,,"4,947,399","85,000",8.1,"715,892",38.39,1.71,4,"-133,301",6.8,"457,114","4,832,365",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8534,9.2,,0.14,4
5103,23-7004991,Bright Hope International,Religion,Hoffman Estates,IL,4,0,"530,778","3,433,436","3,018,918","178,750",25.00,79.7,18.2,0.07,Religious Activities,Serving the poorest of the poor,62.79,http://www.brighthope.org,"3,783,882","115,000",17.5,"1,822,094",37.79,3.03,4,"-350,446",14.0,"234,186","3,254,686",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5103,6.1,mailto:info@brighthope.org,0.48,4
10613,22-2664361,Bris Avrohom,Religion,Hillside,NJ,4,"8,560","49,039","1,328,748","1,303,181",-134,21.47,91.6,0.8,0.05,Religious Activities,Seeing to the needs of Russian Jewish immigrants,60.04,http://www.brisavrohom.org/,"1,422,673","62,500",5.1,"1,389,490",38.56,4.39,3,"-93,925",3.4,"70,453","1,328,882",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10613,4.9,mailto:info@brisavrohom.org,0.97,4
3389,13-3458820,Broadway Cares/Equity Fights AIDS,Public Benefit,New York,NY,2,0,"1,606,584","13,875,375","12,309,862","210,165",20.29,77.1,2.4,0.14,Fundraising Organizations,What we do together makes a difference,50.42,http://www.broadwaycares.org,"15,948,299","160,138",7.4,"1,503,336",30.13,1.00,3,"-2,072,924",10.0,"2,031,853","13,665,210",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3389,12.7,mailto:info@bcefa.org,0.09,3
3390,53-0196577,The Brookings Institution,Public Benefit,Washington,DC,2,0,"23,538,964","75,251,105","61,437,157","11,718,260",30.00,69.8,14.9,0.04,Research and Public Policy Institutions,Quality. Independence. Impact.,59.48,http://www.brookings.edu,"87,914,925","418,989",19.4,"296,024,693",29.48,0.47,4,"-12,663,820",26.7,"2,938,804","63,532,845",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3390,3.3,mailto:development@brookings.edu,2.71,3
3391,11-2201344,Brooklyn Academy of Music,"Arts, Culture, Humanities",Brooklyn,NY,3,0,"2,742,741","33,697,427","29,562,417","1,112,680",18.77,81.2,1.1,0.18,Performing Arts,America's oldest continuously operating performing arts center,51.89,http://www.bam.org,"36,390,779","316,987",6.1,"109,004,107",33.12,0.87,3,"-2,693,352",7.5,"4,085,621","32,584,747",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3391,11.2,mailto:Membership@BAM.org,0.97,3
3392,11-2417338,Brooklyn Botanic Garden,Environment,Brooklyn,NY,3,0,"2,494,818","10,276,787","13,280,395","-3,535,022",17.50,77.0,6.9,0.12,"Botanical Gardens, Parks, and Nature Centers",Inspiring visitors to discover that plants are essential to life,51.81,http://www.bbg.org,"17,234,606","207,542",-0.2,"32,584,462",34.31,1.20,3,"-6,957,819",14.4,"1,459,393","13,811,809",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3392,8.4,mailto:development@bbg.org,1.70,3
3393,11-1672743,Brooklyn Museum,"Arts, Culture, Humanities",Brooklyn,NY,4,0,"4,709,204","41,527,798","25,281,782","591,067",24.21,80.0,2.1,0.04,Museums,Bridging the world's artistic heritage and the experience of each visitor,62.22,http://www.brooklynmuseum.org,"31,567,008","533,256",3.9,"206,918,190",38.00,1.68,4,"9,960,790",14.9,"1,576,022","40,936,731",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3393,4.9,mailto:membership@brooklynmuseum.org,5.43,4
12209,59-0624387,Brookwood Florida,Human Services,St. Petersburg,FL,3,0,"185,666","1,410,931","1,171,517","33,427",10.00,81.7,-14.0,0.15,"Youth Development, Shelter, and Crisis Services",A therapeutic group home for teen girls,45.67,http://www.brookwoodflorida.org/,"1,432,729","72,580",-4.0,"2,512,432",35.67,5.06,1,"-21,798",12.9,"75,546","1,377,504",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12209,5.2,mailto:pjmesmer@brookwoodflorida.org,1.67,2
3396,34-6562544,Brother's Brother Foundation,International,Pittsburgh,PA,4,0,"572,107","1,085,810,903","1,085,676,672","124,405",22.50,99.9,56.6,0.00,Humanitarian Relief Supplies,Connecting people's resources with people's needs,62.46,http://www.brothersbrother.org,"1,086,409,372","125,769",55.5,"18,224,194",39.96,0.01,4,"-598,469",0.0,"160,593","1,085,686,498",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3396,0.0,mailto:mail@brothersbrother.org,0.01,4
3397,05-0258809,Brown University,Education,Providence,RI,4,0,"95,351,486","609,904,167","641,060,999","-67,563,019",20.25,84.3,1.2,0.07,"Universities, Graduate Schools, and Technological Institutes","Discovering, communicating, and preserving knowledge",58.69,http://www.brown.edu,"759,582,205","634,539",5.2,"2,707,428,236",38.43,0.08,3,"-149,678,038",12.5,"23,169,720","677,467,186",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3397,3.0,mailto:annual_fund@brown.edu,2.26,3
9434,23-7105904,Bruce Museum,"Arts, Culture, Humanities",Greenwich,CT,2,0,"248,397","5,446,865","4,650,857","727,386",27.50,79.0,5.1,0.25,Museums,Promoting the understanding and appreciation of art and science,55.40,http://www.brucemuseum.org/,"5,880,583","267,349",11.0,"24,665,557",27.90,4.54,4,"-433,718",4.2,"981,329","4,719,479",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9434,16.6,mailto:webmaster@brucemuseum.org,1.16,3
4898,06-0646562,Brunswick School,Education,Greenwich,CT,3,0,"3,481,767","35,203,634","31,465,949","-4,192,572",26.41,86.7,7.5,0.11,Private Elementary and Secondary Schools,"Courage, honor, truth",62.59,http://www.brunswickschool.org,"36,281,551","390,550",6.4,"155,806,888",36.17,1.07,4,"-1,077,917",9.5,"1,333,835","39,396,206",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4898,3.6,mailto:dbriggs@brunswickschool.org,3.88,4
5697,75-2217559,Bryan's House,Health,Dallas,TX,2,0,"290,571","1,412,458","1,435,681","120,670",10.00,73.4,-5.2,0.18,"Diseases, Disorders, and Disciplines",A place where kids can just be kids,40.59,http://www.bryanshouse.org,"1,954,117","116,177",-3.2,"5,309,837",30.59,5.94,1,"-541,659",14.8,"227,865","1,291,788",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5697,11.6,mailto:bryanshouse@bryanshouse.org,2.61,2
3398,24-0772407,Bucknell University,Education,Lewisburg,PA,2,0,"19,122,941","203,746,268","183,104,797","8,974,625",26.50,85.5,6.1,0.40,"Universities, Graduate Schools, and Technological Institutes",A top national liberal arts university,57.56,,"213,968,216","483,029",6.6,"662,633,594",31.05,0.22,4,"-10,221,948",8.9,"11,740,478","194,771,643",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3398,5.4,,2.24,3
5968,04-2386196,Buddy Dog Humane Society,Animals,Sudbury,MA,2,0,"202,192","615,665","592,693","134,332",18.66,71.5,4.6,0.11,"Animal Rights, Welfare, and Services",Giving a new lease on life to impounded and homeless dogs and cats,47.96,,"828,492","71,887",0.3,"4,719,288",29.30,8.67,3,"-212,827",24.4,"33,607","481,333",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5968,4.0,,5.69,2
9070,76-0183954,Buffalo Bayou Partnership,Environment,Houston,TX,4,0,"154,182","5,125,255","2,508,352","193,823",30.00,88.0,27.6,0.03,Environmental Protection and Conservation,Overseeing Buffalo Bayou improvements,68.80,http://www.buffalobayou.org/,"2,847,212","120,727",16.6,"10,354,818",38.80,4.24,4,"2,278,043",5.4,"184,678","4,931,432",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9070,6.4,mailto:info@buffalobayou.org,3.63,4
3400,83-0180403,Buffalo Bill Historical Center,"Arts, Culture, Humanities",Cody,WY,3,0,"681,387","11,684,702","10,099,829","2,850,214",18.50,88.1,0.1,0.11,Museums,The voice of the American West,54.81,http://www.bbhc.org,"11,457,848","175,495",4.6,"147,526,476",36.31,1.53,3,"226,854",5.9,"676,632","8,834,488",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3400,5.9,mailto:wendys@bbhc.org,10.72,3
9898,16-0743965,Buffalo City Mission,Human Services,Buffalo,NY,2,0,"400,043","5,293,874","4,868,521","97,729",14.99,80.0,1.5,0.18,Homeless Services,Restoring lives since 1917,47.47,http://www.buffalocitymission.org/,"6,083,019","56,365",4.7,"2,121,054",32.48,0.92,2,"-789,145",6.5,"814,455","5,196,145",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9898,13.3,mailto:acalhoun@buffalocitymission.org,0.33,2
5036,16-0755739,Buffalo Philharmonic Orchestra,"Arts, Culture, Humanities",Buffalo,NY,4,0,"1,430,589","10,862,595","8,802,041","322,597",13.04,83.2,2.6,0.04,Performing Arts,Providing live performances of symphonic music,51.37,http://www.bpo.org,"10,566,992","238,686",6.3,"627,028",38.32,2.25,2,"295,603",13.5,"334,362","10,539,998",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5036,3.1,mailto:jsmith@bpo.org,-0.22,3
8894,22-3128648,buildOn,International,Stamford,CT,4,0,"141,659","5,645,898","4,548,585","71,481",30.00,88.2,7.5,0.08,Development and Relief Services,Enhancing education and empowering youth,68.82,http://www.buildon.org/,"5,151,611","175,000",15.9,"5,570,956",38.82,3.39,4,"494,287",2.7,"461,367","5,574,417",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8894,8.9,mailto:greg.bilionis@buildon.org,1.08,4
9014,51-0163622,Bulldog Club,Human Services,Mississippi State,MS,3,0,"316,552","10,193,700","18,963,158","354,056",20.04,93.3,5.6,0.10,Multipurpose Human Service Organizations,Supporting the athletic program at Mississippi State University,56.18,http://www.mstateathletics.com/bulldogclub,"20,324,836","93,117",5.7,"12,829,645",36.14,0.45,3,"-10,131,136",1.5,"1,045,126","9,839,644",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9014,5.1,mailto:bulldog-club@athletics.msstate.edu,0.39,3
7078,52-0635080,Bullis School,Education,Potomac,MD,2,0,"4,235,851","20,631,127","16,284,597","272,622",20.55,76.2,7.5,0.90,Private Elementary and Secondary Schools,"Challenging students to achieve their highest potential in academics, the arts and athletics",48.17,http://www.bullis.org/,"21,355,355","289,887",5.5,"20,214,515",27.62,1.35,3,"-724,228",19.8,"834,907","20,358,505",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7078,3.9,mailto:admission@bullis.org,0.82,2
7876,65-0244316,The Buoniconti Fund to Cure Paralysis,Public Benefit,Miami,FL,1,0,"244,270","9,691,430","4,634,000","-547,707",25.74,68.4,24.0,0.18,Fundraising Organizations,The fundraising arm of The Miami Project to Cure Paralysis,50.08,http://www.thebuonicontifund.com,"6,772,619","73,377",3.4,"6,910,478",24.34,1.08,4,"2,918,811",3.6,"1,894,349","10,239,137",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7876,27.9,mailto:bfinfo@med.miami.edu,1.02,3
3831,06-0662112,The Bushnell,"Arts, Culture, Humanities",Hartford,CT,2,0,"2,856,312","16,093,259","16,248,514","-558,921",20.94,80.9,3.8,0.32,Performing Arts,Connecticut's premier performing arts center,53.34,http://www.bushnell.org,"20,062,575","437,140",3.0,"47,250,282",32.40,2.17,3,"-3,969,316",14.2,"957,749","16,652,180",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3831,4.7,mailto:info@bushnell.org,2.01,3
3402,52-1271179,Business Executives for National Security,Public Benefit,Washington,DC,4,0,"809,187","7,482,881","5,387,203","278,985",21.75,78.6,6.6,0.09,Research and Public Policy Institutions,Working to help make America safe and secure,59.62,http://www.bens.org,"6,846,061","315,540",6.7,"4,503,390",37.86,4.60,3,"636,820",11.8,"649,671","7,203,896",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3402,9.4,mailto:bensdc@bens.org,0.41,3
5455,52-1764268,Business for Social Responsibility,Public Benefit,San Francisco,CA,3,0,"2,165,156","12,760,104","10,477,172","19,181",22.50,82.3,18.2,0.05,Research and Public Policy Institutions,The business of a better world,58.23,http://www.bsr.org,"12,725,182","263,625",20.3,"1,350,579",35.73,2.07,4,"34,922",17.0,"82,854","12,740,923",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5455,0.6,mailto:web@bsr.org,0.10,3
8650,34-0748495,Butler Institute of American Art,"Arts, Culture, Humanities",Youngstown,OH,3,0,"587,372","4,580,270","1,931,110","2,583,928",25.99,75.2,8.3,0.02,Museums,"Promoting the appreciation of art through collections, exhibits and education",61.02,http://www.butlerart.com/,"2,567,077","100,000",5.9,"54,511,937",35.02,3.89,4,"2,013,193",22.8,"48,595","1,996,342",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8650,1.8,mailto:info@butlerart.com,13.65,4
